title,audienceRating,contentRating,durationHuman,rating,studio,year
A Nightmare on Elm Street 4: The Dream Master,4.3,R,1 hr 33 mins,5.2,New Line Cinema,1988
A Nightmare on Elm Street 5: The Dream Child,3.1,R,1 hr 30 mins,2.9,New Line Cinema,1989
No Country for Old Men,8.6,R,2 hrs 2 mins,9.3,Miramax,2007
No Time to Die,8.8,PG-13,2 hrs 44 mins,8.3,Metro-Goldwyn-Mayer,2021
Noah,4.1,PG-13,2 hrs 18 mins,7.6,Disruption Entertainment,2014
The Northman,6.4,R,2 hrs 17 mins,8.9,New Regency Pictures,2022
The Notebook,8.5,PG-13,2 hrs 4 mins,5.3,New Line Cinema,2004
Now You See Me,7,PG-13,2 hrs 5 mins,5.1,Summit Entertainment,2013
Now You See Me 2,5.3,PG-13,2 hrs 9 mins,3.3,Summit Entertainment,2016
The Nun,,R,1 hr 37 mins,5.8,New Line Cinema,2018
Ocean's Eight,4.6,PG-13,1 hr 50 mins,6.8,Village Roadshow Pictures,2018
Ocean's Eleven,8,PG-13,1 hr 57 mins,8.3,Village Roadshow Pictures,2001
Ocean's Thirteen,7.5,PG-13,2 hrs 2 mins,7,Village Roadshow Pictures,2007
Ocean's Twelve,6,PG-13,2 hrs 5 mins,5.5,Village Roadshow Pictures,2004
Octopussy,4.7,PG,2 hrs 11 mins,4.3,Eon Productions,1983
The Odd Life of Timothy Green,6.7,PG,1 hr 45 mins,3.6,Walt Disney Pictures,2012
Olympus Has Fallen,6.6,R,1 hr 59 mins,5,Millennium Films,2013
On Her Majesty's Secret Service,6.4,PG,2 hrs 22 mins,8,United Artists,1969
Once Upon a Time... In Hollywood,7,R,2 hrs 41 mins,8.5,Columbia Pictures,2019
One Flew Over the Cuckoo's Nest,9.6,R,2 hrs 14 mins,9.3,Fantasy Films,1975
The Other Guys,6,PG-13,1 hr 56 mins,7.8,Columbia Pictures,2010
Pacific Rim,7.7,PG-13,2 hrs 11 mins,7.2,Legendary Pictures,2013
Pacific Rim: Uprising,3.8,PG-13,1 hr 51 mins,4.2,Legendary Pictures,2018
Pan's Labyrinth,9.1,R,1 hr 59 mins,9.5,Estudios Picasso,2006
Parasite,,,2 hrs 12 mins,8.5,Barunson E&A,2019
The Passion of the Christ,8,R,2 hrs 7 mins,4.9,Icon Productions,2004
Patriot Games,7.2,R,1 hr 57 mins,7.4,Paramount,1992
Patriots Day,8.6,R,2 hrs 13 mins,8,CBS Films,2017
Paul Blart: Mall Cop,4.3,PG,1 hr 31 mins,3.4,Columbia Pictures,2009
Paul Blart: Mall Cop 2,3.3,PG,1 hr 34 mins,0.6,Columbia Pictures,2015
The Perks of Being a Wallflower,8.9,PG-13,1 hr 43 mins,8.5,Mr. Mudd Production,2012
Pet Sematary,5.9,R,1 hr 43 mins,5.3,Paramount,1989
Pet Sematary,3.2,R,1 hr 41 mins,5.7,Di Bonaventura Pictures,2019
Pet Sematary II,3,R,1 hr 40 mins,2.2,Paramount,1992
The Pianist,9.6,R,2 hrs 29 mins,9.5,Canal+ Polska,2002
Pineapple Express,,R,1 hr 57 mins,6.6,Columbia Pictures,2008
Pink Floyd: The Wall,8.9,R,1 hr 35 mins,7.1,Metro-Goldwyn-Mayer,1982
Pirates of the Caribbean: At World's End,,PG-13,2 hrs 48 mins,7.2,Walt Disney Pictures,2007
Pirates of the Caribbean: Dead Man's Chest,,,2 hrs 31 mins,7.3,Walt Disney Pictures,2006
Pirates of the Caribbean: Dead Men Tell No Tales,,PG-13,2 hrs 9 mins,6.6,Walt Disney Pictures,2017
Pirates of the Caribbean: On Stranger Tides,,PG-13,2 hrs 16 mins,6.5,Walt Disney Pictures,2011
Pirates of the Caribbean: The Curse of the Black Pearl,,PG-13,2 hrs 23 mins,7.8,Walt Disney Pictures,2003
Pitch Black,,R,1 hr 52 mins,6.8,Interscope Communications,2000
Pitch Perfect,8.3,PG-13,1 hr 52 mins,8.1,Gold Circle Films,2012
Pitch Perfect 2,6.4,PG-13,1 hr 55 mins,6.5,Universal Pictures,2015
Pitch Perfect 3,4.3,PG-13,1 hr 33 mins,2.8,Universal Pictures,2017
The Place Beyond the Pines,7.5,R,2 hrs 21 mins,7.8,Focus Features,2013
"Planes, Trains & Automobiles",8.7,R,1 hr 32 mins,9.2,Paramount,1987
Police Academy,6.4,R,1 hr 36 mins,5.7,Warner Bros. Pictures,1984
Poltergeist,7.9,PG,1 hr 54 mins,8.7,Metro-Goldwyn-Mayer,1982
The Poughkeepsie Tapes,5,R,1 hr 21 mins,6.7,Metro-Goldwyn-Mayer,2007
Prayers for Bobby,8.6,PG,1 hr 30 mins,7.3,Once Upon a Time Films,2009
Predator,8.7,R,1 hr 47 mins,8,20th Century Fox,1987
The Predator,3.3,R,1 hr 47 mins,3.3,20th Century Fox,2018
Predator 2,4.4,R,1 hr 48 mins,3,20th Century Fox,1990
Predators,5.2,R,1 hr 47 mins,6.5,20th Century Fox,2010
Premium Rush,6,PG-13,1 hr 31 mins,7.4,Pariah Entertainment Group,2012
The Prestige,9.2,PG-13,2 hrs 10 mins,7.6,Warner Bros. Pictures,2006
Prince of Persia: The Sands of Time,5.8,PG-13,1 hr 56 mins,3.7,Walt Disney Pictures,2010
Prometheus,,R,2 hrs 4 mins,6.5,20th Century Fox,2012
A Prophet,8.9,R,2 hrs 35 mins,9.6,France 2 Cinéma,2009
The Proposal,6.8,PG-13,1 hr 48 mins,4.5,Touchstone Pictures,2009
Pulp Fiction,9.6,R,2 hrs 34 mins,9.2,Miramax,1994
The Punisher,6.3,R,2 hrs 4 mins,2.9,Lions Gate Films,2004
The Purge,3.6,R,1 hr 25 mins,3.9,Universal Pictures,2013
The Purge: Anarchy,5.6,R,1 hr 44 mins,5.7,Why Not Productions,2014
The Purge: Election Year,4.8,R,1 hr 49 mins,5.5,Why Not Productions,2016
The Pursuit of Happyness,8.7,PG-13,1 hr 57 mins,6.7,Columbia Pictures,2006
Quantum of Solace,5.8,PG-13,1 hr 46 mins,6.4,Columbia Pictures,2008
A Quiet Place,,PG-13,1 hr 30 mins,7.4,Paramount,2018
A Quiet Place Part II,,PG-13,1 hr 37 mins,7.6,Paramount,2020
Raging Bull,9.3,R,2 hrs 9 mins,9.4,United Artists,1980
The Raid 2,8.7,R,2 hrs 30 mins,8.2,XYZ Films,2014
The Raid: Redemption,8.7,R,1 hr 41 mins,8.7,Celluloid Dreams,2012
Rambo,6.9,R,1 hr 39 mins,3.7,Nu Image,2008
Rambo III,4.5,R,1 hr 41 mins,4,Carolco Pictures,1988
Rambo: First Blood,8.5,R,1 hr 33 mins,8.6,Orion Pictures,1982
Rambo: First Blood Part II,6,R,1 hr 36 mins,3.3,TriStar Pictures,1985
Rambo: Last Blood,8.1,R,1 hr 29 mins,2.7,Millennium Films,2019
Rampage,7.2,PG-13,1 hr 47 mins,5.1,New Line Cinema,2018
Rampage,,PG-13,1 hr 47 mins,6.5,New Line Cinema,2018
Rat Race,6.4,PG-13,1 hr 52 mins,4.4,Paramount,2001
Ready Player One,7.7,PG-13,2 hrs 20 mins,7.2,Amblin Entertainment,2018
[REC],8.2,R,1 hr 16 mins,9,Filmax,2007
[REC] 2,6,R,1 hr 24 mins,6.8,Filmax,2009
[REC]³ Genesis,2.7,R,1 hr 20 mins,4.2,Filmax,2012
[REC]⁴ Apocalypse,3.4,R,1 hr 35 mins,6.8,Filmax,2014
Red Dragon,7.4,R,2 hrs 4 mins,6.8,Universal Pictures,2002
Remember the Titans,9.3,PG,1 hr 53 mins,7.3,Jerry Bruckheimer Films,2000
Requiem for a Dream,9.3,R,1 hr 41 mins,7.9,Artisan Entertainment,2000
Reservoir Dogs,9.4,R,1 hr 39 mins,9,Live Entertainment,1992
Revenge of the Nerds,7.3,R,1 hr 30 mins,7.1,20th Century Fox,1984
Riddick,,R,2 hrs 7 mins,6.3,Universal Pictures,2013
Rise of the Planet of the Apes,,,1 hr 45 mins,7.3,20th Century Fox,2011
The Road,6.8,R,1 hr 53 mins,7.3,Dimension Films,2009
RoboCop,8.4,R,1 hr 44 mins,9.1,Orion Pictures,1987
RoboCop 2,,R,1 hr 57 mins,5.9,Orion Pictures,1990
RoboCop 3,,PG-13,1 hr 45 mins,4.7,Orion Pictures,1993
Rocky,,PG,1 hr 60 mins,7.8,Winkler Films,1976
Rocky Balboa,,PG,1 hr 42 mins,6.8,Columbia Pictures,2006
Rocky II,,PG,1 hr 59 mins,7.2,United Artists,1979
Rocky III,,PG,1 hr 40 mins,6.8,United Artists,1982
Rocky IV,7.8,PG,1 hr 34 mins,3.7,United Artists,1985
Rocky V,,PG-13,1 hr 44 mins,5.7,United Artists,1990
Rogue One: A Star Wars Story,,PG-13,2 hrs 14 mins,7.5,Lucasfilm,2016
Romeo + Juliet,6.7,PG-13,2 hrs,,20th Century Fox,1996
Romeo and Juliet,7.4,PG,2 hrs 18 mins,9.5,Paramount,1968
The Room,4.7,R,1 hr 40 mins,2.6,Chloe Productions,2003
Room,9.3,R,1 hr 58 mins,9.3,Téléfilm Canada,2015
Rush Hour,7.8,PG-13,1 hr 38 mins,6.1,Roger Birnbaum Productions,1998
Rush Hour 2,7.4,PG-13,1 hr 30 mins,5.2,New Line Cinema,2001
Rush Hour 3,6.3,PG-13,1 hr 31 mins,1.7,New Line Cinema,2007
"Salò, or the 120 Days of Sodom",6.3,Not Rated,1 hr 57 mins,6.9,Produzioni Europee Associate (PEA),1975
Saving Private Ryan,9.5,R,2 hrs 49 mins,9.3,Paramount,1998
Saw,8.4,R,1 hr 43 mins,5.1,Twisted Pictures,2004
Saw II,5.9,R,1 hr 35 mins,3.7,Got Films,2005
Saw III,7.1,R,2 hrs,2.9,Twisted Pictures,2006
Saw IV,6.2,R,1 hr 36 mins,1.9,Twisted Pictures,2007
Saw V,5.2,R,1 hr 35 mins,1.3,Lionsgate,2008
Saw VI,4.8,R,1 hr 32 mins,4,Lionsgate,2009
Saw: The Final Chapter,4.1,R,1 hr 30 mins,1,Lionsgate,2010
Scarface,9.3,R,2 hrs 50 mins,8.1,Universal Pictures,1983
Scary Movie,4.3,R,1 hr 28 mins,5.2,Gold/Miller Productions,2000
Scary Movie 2,5.2,R,1 hr 22 mins,1.4,Gold/Miller Productions,2001
Scary Movie 3,5.4,PG-13,1 hr 26 mins,3.5,Dimension Films,2003
Scary Movie 4,5.1,PG-13,1 hr 30 mins,3.5,Miramax,2006
Scary Movie 5,3.8,PG-13,1 hr 28 mins,0.4,Dimension Films,2013
Schindler's List,,R,3 hrs 15 mins,8.6,Universal Pictures,1993
The Scorpion King,3.7,PG-13,1 hr 31 mins,4.1,Universal Pictures,2002
Scott Pilgrim vs. the World,8.4,PG-13,1 hr 52 mins,8.2,Universal Pictures,2010
Scream,7.9,R,1 hr 51 mins,7.9,Dimension Films,1996
Scream,8.1,R,1 hr 54 mins,7.6,Paramount,2022
Scream 2,5.7,R,2 hrs,8.1,Konrad Pictures,1997
Scream 3,3.7,R,1 hr 57 mins,4.1,Konrad Pictures,2000
Scream 4,5.6,R,1 hr 51 mins,6.1,Dimension Films,2011
Se7en,9.5,R,2 hrs 7 mins,8.2,New Line Cinema,1995
Seed of Chucky,3.8,R,1 hr 27 mins,3.4,Rogue Pictures,2004
A Serbian Film,4.3,NC-17,1 hr 44 mins,4.7,Contra Film,2010
Seven Pounds,7.5,PG-13,2 hrs 3 mins,2.7,Columbia Pictures,2008
Shang-Chi and the Legend of the Ten Rings,,PG-13,2 hrs 12 mins,7.7,Marvel Studios,2021
The Shape of Water,7.2,R,2 hrs 3 mins,9.2,Double Dare You Productions,2017
Shaun of the Dead,9.3,R,1 hr 39 mins,9.2,WT2 Productions,2004
The Shawshank Redemption,9.8,R,2 hrs 23 mins,9.1,Columbia Pictures,1994
Shazam!,,PG-13,2 hrs 12 mins,7.1,New Line Cinema,2019
The Shining,9.3,R,2 hrs 24 mins,8.4,Hawk Films,1980
Silence,6.9,R,2 hrs 41 mins,8.3,Waypoint Entertainment,2017
The Silence of the Lambs,9.5,R,1 hr 59 mins,9.5,Orion Pictures,1991
Silent Hill,6.3,R,2 hrs 5 mins,3.2,Silent Hill DCP Inc.,2006
Silver Linings Playbook,8.6,R,2 hrs 2 mins,9.2,The Weinstein Company,2012
The Simpsons Movie,7.7,PG-13,1 hr 27 mins,8.7,AKOM Production Company,2007
Sin City,7.8,R,2 hrs 22 mins,7.7,Dimension Films,2005
Sin City: A Dame to Kill For,4.4,R,1 hr 42 mins,4.2,Residaco,2014
Skyfall,8.6,PG-13,2 hrs 23 mins,9.2,Columbia Pictures,2012
Slumdog Millionaire,9,R,2 hrs,9.1,Celador Films,2008
Snatched,,R,1 hr 31 mins,5.4,20th Century Fox,2017
Snow White and the Huntsman,5.2,PG-13,2 hrs 12 mins,4.9,Universal Pictures,2012
Snowpiercer,7.2,R,2 hrs 6 mins,9.4,CJ Entertainment,2013
The Snowtown Murders,6.6,Not Rated,2 hrs,8.4,Screen Australia,2011
The Social Network,8.7,PG-13,2 hrs,9.6,Columbia Pictures,2010
Solo: A Star Wars Story,,PG-13,2 hrs 15 mins,6.6,Lucasfilm,2018
Son of Saul,,R,1 hr 47 mins,7.1,Laokoon Filmgroup,2015
Spaceballs,8.3,PG,1 hr 36 mins,5.6,Metro-Goldwyn-Mayer,1987
Spectre,6.1,PG-13,2 hrs 28 mins,6.3,Columbia Pictures,2015
Speed,7.6,R,1 hr 56 mins,9.4,20th Century Fox,1994
Spider-Man,,PG-13,2 hrs 1 min,7.2,Laura Ziskin Productions,2002
Spider-Man 2,,PG-13,2 hrs 7 mins,7.2,Laura Ziskin Productions,2004
Spider-Man 3,,PG-13,2 hrs 19 mins,6.4,Laura Ziskin Productions,2007
Spider-Man: Far From Home,,PG-13,2 hrs 9 mins,7.5,Columbia Pictures,2019
Spider-Man: Homecoming,,PG-13,2 hrs 13 mins,7.4,Marvel Studios,2017
Spider-Man: Into the Spider-Verse,,PG,1 hr 57 mins,8.4,Columbia Pictures,2018
Spider-Man: No Way Home,,PG-13,2 hrs 28 mins,8.1,Columbia Pictures,2021
Spiral,7.5,R,1 hr 33 mins,3.7,Twisted Pictures,2021
Split,,,1 hr 57 mins,7.3,Universal Pictures,2016
The Spy Who Loved Me,7.6,PG,2 hrs 6 mins,8.1,United Artists,1977
Star Trek,9.1,PG-13,2 hrs 7 mins,9.4,Paramount,2009
Star Trek Beyond,8,PG-13,2 hrs 2 mins,8.6,Paramount,2016
Star Trek II: The Wrath of Khan,9,PG,1 hr 57 mins,8.6,Paramount,1982
Star Trek III: The Search for Spock,6.5,PG,1 hr 45 mins,7.9,Paramount,1984
Star Trek Into Darkness,8.9,PG-13,2 hrs 12 mins,8.4,Paramount,2013
Star Trek IV: The Voyage Home,8.1,PG,1 hr 59 mins,8.2,Paramount,1986
Star Trek V: The Final Frontier,2.4,PG,1 hr 47 mins,2.2,Paramount,1989
Star Trek VI: The Undiscovered Country,8.3,PG,1 hr 50 mins,8.2,Paramount,1991
Star Trek: First Contact,8.9,PG-13,1 hr 51 mins,9.2,Paramount,1996
Star Trek: Generations,5.7,PG,1 hr 58 mins,4.7,Paramount,1994
Star Trek: Insurrection,4.4,PG,1 hr 43 mins,5.4,Paramount,1998
Star Trek: Nemesis,4.9,PG-13,1 hr 57 mins,3.8,Paramount,2002
Star Trek: The Motion Picture,4.2,PG,2 hrs 12 mins,4.9,Paramount,1979
Star Wars: Episode I - The Phantom Menace,,PG,2 hrs 16 mins,6.5,Lucasfilm,1999
Star Wars: Episode II - Attack of the Clones,,PG,2 hrs 22 mins,6.5,Lucasfilm,2002
Star Wars: Episode III - Revenge of the Sith,,PG-13,2 hrs 20 mins,7.4,Lucasfilm,2005
Star Wars: Episode IV - A New Hope,,,2 hrs 5 mins,8.2,Lucasfilm,1977
Star Wars: Episode IX - The Rise of Skywalker,,PG-13,2 hrs 22 mins,6.4,Lucasfilm,2019
Star Wars: Episode V - The Empire Strikes Back,,PG,2 hrs 7 mins,8.4,Lucasfilm,1980
Star Wars: Episode VI - Return of the Jedi,,PG,2 hrs 15 mins,7.9,Lucasfilm,1983
Star Wars: Episode VII - The Force Awakens,,PG-13,2 hrs 18 mins,7.3,Lucasfilm,2015
Star Wars: Episode VIII - The Last Jedi,,PG-13,2 hrs 32 mins,6.9,Lucasfilm,2017
Starship Troopers,7,R,2 hrs 10 mins,6.6,Touchstone Pictures,1997
Stay Alive,5.5,PG-13,1 hr 26 mins,1,Spyglass Entertainment,2006
Step Brothers,6.9,R,1 hr 46 mins,5.5,Columbia Pictures,2008
Straight Outta Compton,9.1,R,2 hrs 47 mins,8.9,New Line Cinema,2015
Suicide Squad,,PG-13,2 hrs 15 mins,5.9,Warner Bros. Pictures,2016
The Suicide Squad,,R,2 hrs 12 mins,7.7,Warner Bros. Pictures,2021
Sully,8.4,PG-13,1 hr 36 mins,8.5,Malpaso Productions,2016
The Sum of All Fears,4.9,PG-13,2 hrs 4 mins,5.9,Paramount,2002
Super,5.6,R,1 hr 36 mins,4.9,This Is That Productions,2011
Super 8,7.5,PG-13,1 hr 52 mins,8.1,Paramount,2011
Superbad,,R,1 hr 59 mins,7.2,Columbia Pictures,2007
Superhero Movie,3.2,PG-13,1 hr 22 mins,1.7,Dimension Films,2008
Superman,8.6,PG,2 hrs 23 mins,9.4,Warner Bros. Pictures,1978
Superman II,7.6,PG,2 hrs 8 mins,8.2,Warner Bros. Pictures,1980
Superman III,2.3,PG,2 hrs 5 mins,2.9,Warner Bros. Pictures,1983
Superman IV: The Quest for Peace,1.6,PG,1 hr 30 mins,1,Warner Bros. Pictures,1987
Superman Returns,6.1,PG-13,2 hrs 34 mins,7.4,Warner Bros. Pictures,2006
Survival of the Dead,1.9,R,1 hr 30 mins,3,Blank of the Dead Productions,2010
Sweeney Todd: The Demon Barber of Fleet Street,8.1,R,1 hr 56 mins,8.6,Tim Burton Productions,2007
Taken,8.5,PG-13,1 hr 33 mins,5.9,20th Century Fox,2008
Taken 2,5.2,PG-13,1 hr 38 mins,2.2,20th Century Fox,2012
Taken 3,4.3,PG-13,1 hr 55 mins,1.3,20th Century Fox,2015
Talladega Nights: The Ballad of Ricky Bobby,7.3,PG-13,2 hrs 1 min,7.1,Columbia Pictures,2006
Taxi Driver,9.3,R,1 hr 54 mins,9.6,Columbia Pictures,1976
Team America: World Police,8,R,1 hr 38 mins,7.7,Paramount,2004
Ted,,R,1 hr 52 mins,6.4,Universal Pictures,2012
Ted 2,,R,2 hrs 6 mins,6.3,Universal Pictures,2015
The Ten Commandments,8.7,G,3 hrs 52 mins,8.6,Paramount,1956
Tenacious D in The Pick of Destiny,,R,1 hr 34 mins,6.7,New Line Cinema,2006
The Terminator,,R,1 hr 47 mins,7.6,Orion Pictures,1984
Terminator 2: Judgment Day,,R,2 hrs 17 mins,8.1,Carolco Pictures,1991
Terminator 3: Rise of the Machines,,R,1 hr 49 mins,6.1,Columbia Pictures,2003
Terminator Genisys,,PG-13,2 hrs 6 mins,5.9,Paramount,2015
Terminator Salvation,,PG-13,1 hr 58 mins,6,Columbia Pictures,2009
Terminator: Dark Fate,,R,2 hrs 8 mins,6.5,Paramount,2019
The Texas Chain Saw Massacre,8.2,R,1 hr 23 mins,8.9,Vortex,1974
Thank You for Smoking,8.7,R,1 hr 32 mins,8.6,TYFS Productions LLC,2006
There Will Be Blood,8.6,R,2 hrs 38 mins,9.1,Paramount Vantage,2008
Thirst,7.5,R,2 hrs 28 mins,8,CJ Entertainment,2009
This Is the End,7.1,R,1 hr 47 mins,8.3,Columbia Pictures,2013
Thor,,PG-13,1 hr 55 mins,6.8,Marvel Studios,2011
Thor: Ragnarok,,PG-13,2 hrs 11 mins,7.6,Marvel Studios,2017
Thor: The Dark World,,PG-13,1 hr 52 mins,6.6,Marvel Studios,2013
Threads,9.2,TV-MA,1 hr 57 mins,10,Western-World Television Inc.,1984
Threat Level Midnight: The Movie [MEME],,,25 mins,,Great Scott Films International,2011
Thunderball,7.3,PG,2 hrs 10 mins,8.7,United Artists,1965
Titanic,6.9,PG-13,3 hrs 15 mins,8.7,Paramount,1997
Tomb Raider,,PG-13,1 hr 58 mins,6.4,Metro-Goldwyn-Mayer,2018
Tomorrow Never Dies,5.3,PG-13,1 hr 59 mins,5.6,United Artists,1997
TPB AFK: The Pirate Bay Away from Keyboard,6.8,Not Rated,1 hr 22 mins,,Piraya Film,2013
Trading Places,8.4,R,1 hr 56 mins,8.8,Paramount,1983
Train to Busan,,NR,1 hr 58 mins,7.8,Next Entertainment World,2016
Transformers,,PG-13,2 hrs 23 mins,6.7,Paramount,2007
Transformers: Age of Extinction,,PG-13,2 hrs 45 mins,5.9,Paramount,2014
Transformers: Dark of the Moon,,PG-13,2 hrs 34 mins,6.1,Paramount,2011
Transformers: Revenge of the Fallen,,PG-13,2 hrs 30 mins,6.1,Paramount,2009
Transformers: The Last Knight,,PG-13,2 hrs 35 mins,6.1,Paramount,2017
TRON,6.9,PG,1 hr 36 mins,7.1,Lisberger/Kushner,1982
TRON: Legacy,6.3,PG,2 hrs 5 mins,5.1,Revolution Sun Studios,2010
Tropic Thunder,7,R,2 hrs 1 min,8.2,DreamWorks Pictures,2008
Troy,7.3,R,3 hrs 16 mins,5.4,Warner Bros. Pictures,2004
Tusk,3.6,R,1 hr 42 mins,4.6,Phase 4 Films,2014
Twilight,7.2,PG-13,2 hrs 2 mins,4.9,Summit Entertainment,2008
The Twilight Saga: Breaking Dawn - Part 1,6,PG-13,1 hr 57 mins,2.5,Summit Entertainment,2011
The Twilight Saga: Breaking Dawn - Part 2,7,PG-13,1 hr 55 mins,4.9,Summit Entertainment,2012
The Twilight Saga: Eclipse,6,PG-13,2 hrs 4 mins,4.8,Summit Entertainment,2010
The Twilight Saga: New Moon,6.1,PG-13,2 hrs 11 mins,2.9,Summit Entertainment,2009
Unbreakable,,PG-13,1 hr 47 mins,7.1,Limited Edition Productions Inc.,2000
Uncharted,,PG-13,1 hr 56 mins,7,Columbia Pictures,2022
Under the Silver Lake,,,2 hrs 19 mins,6.4,Michael De Luca Productions,2018
Underworld,7.9,R,2 hrs 14 mins,3.1,Screen Gems,2003
Underworld: Awakening,6.2,R,1 hr 29 mins,2.6,Screen Gems,2012
Underworld: Blood Wars,4.9,R,1 hr 32 mins,2.1,Lakeshore Entertainment,2016
Underworld: Evolution,7.2,R,1 hr 46 mins,1.7,Screen Gems,2006
Underworld: Rise of the Lycans,6.3,R,1 hr 32 mins,2.9,Screen Gems,2009
Us,,R,1 hr 56 mins,7,Universal Pictures,2019
V for Vendetta,9,R,2 hrs 13 mins,7.3,Studio Babelsberg,2006
Valhalla Rising,4.9,Not Rated,1 hr 33 mins,7.4,BBC Films,2010
Valkyrie,6.5,PG-13,2 hrs,6.2,United Artists,2008
Venom,,PG-13,1 hr 52 mins,6.8,Marvel Entertainment,2018
Venom: Let There Be Carnage,,PG-13,1 hr 37 mins,7,Columbia Pictures,2021
A Very Harold & Kumar Christmas,5.9,R,1 hr 36 mins,6.8,New Line Cinema,2011
A View to a Kill,4,PG,2 hrs 11 mins,3.8,United Artists,1985
The Vow,6.3,PG-13,1 hr 44 mins,3.1,Spyglass Entertainment,2012
War Dogs,6.9,R,1 hr 54 mins,6.1,The Mark Gordon Company,2016
War for the Planet of the Apes,,PG-13,2 hrs 20 mins,7.1,20th Century Fox,2017
The War of the Worlds,7.1,PG,1 hr 26 mins,8.9,Paramount,1953
War of the Worlds,4.2,PG-13,1 hr 57 mins,7.5,Paramount,2005
Warcraft,7.6,PG-13,2 hrs 3 mins,2.8,Universal Pictures,2016
WarGames,7.6,PG,1 hr 53 mins,9.3,United Artists,1983
Watchmen,7.1,R,3 hrs 35 mins,6.5,DC Comics,2009
Waterworld,4.3,PG-13,2 hrs 57 mins,4.5,Universal Pictures,1995
We Need to Talk About Kevin,7.8,R,1 hr 52 mins,7.5,BBC Films,2011
We're the Millers,7.2,R,1 hr 59 mins,4.9,New Line Cinema,2013
Wedding Crashers,7,R,2 hrs 7 mins,7.5,New Line Cinema,2005
Weekend at Bernie's,5.7,PG-13,1 hr 38 mins,5.2,20th Century Fox,1989
Wes Craven's New Nightmare,6.6,R,1 hr 52 mins,7.8,New Line Cinema,1994
When Harry Met Sally...,8.9,R,1 hr 36 mins,9.1,Castle Rock Entertainment,1989
Whiplash,,,1 hr 47 mins,8.4,Bold Films,2014
Whiskey Tango Foxtrot,5.4,R,1 hr 52 mins,6.7,Paramount,2016
White House Down,6.2,PG-13,2 hrs 12 mins,5.2,Iron Horse Entertainment,2013
Why Him?,5.1,R,1 hr 51 mins,3.9,21 Laps Entertainment,2016
The Wolf of Wall Street,8.3,R,2 hrs 60 mins,7.9,EMJAG Productions,2013
The Wolverine,,PG-13,2 hrs 18 mins,6.4,20th Century Fox,2013
Wonder Woman,,PG-13,2 hrs 21 mins,7.2,Atlas Entertainment,2017
Wonder Woman 1984,,PG-13,2 hrs 31 mins,6.6,Warner Bros. Pictures,2020
The World Is Not Enough,4.9,PG-13,2 hrs 8 mins,5.2,Metro-Goldwyn-Mayer,1999
World War Z,7.2,PG-13,2 hrs 3 mins,6.6,Paramount,2013
Wrath of the Titans,4.9,PG-13,1 hr 40 mins,2.6,Warner Bros. Pictures,2012
X-Men,,PG-13,1 hr 44 mins,7,20th Century Fox,2000
X-Men Origins: Wolverine,,PG-13,1 hr 47 mins,6.3,20th Century Fox,2009
X-Men: Apocalypse,,PG-13,2 hrs 24 mins,6.5,20th Century Fox,2016
X-Men: Days of Future Past,,PG-13,2 hrs 29 mins,7.5,20th Century Fox,2014
X-Men: First Class,,PG-13,2 hrs 12 mins,7.3,20th Century Fox,2011
X-Men: The Last Stand,,PG-13,1 hr 44 mins,6.4,20th Century Fox,2006
X2,,PG-13,2 hrs 14 mins,7,20th Century Fox,2003
xXx,5.8,PG-13,2 hrs 4 mins,4.9,Columbia Pictures,2002
xXx: Return of Xander Cage,3.7,PG-13,1 hr 47 mins,4.5,Rox Productions,2017
xXx: State of the Union,3.2,PG-13,1 hr 41 mins,1.7,Revolution Studios,2005
You Only Live Twice,6.8,PG,1 hr 57 mins,7.3,United Artists,1967
Zack Snyder's Justice League,,R,4 hrs 2 mins,8.3,Warner Bros. Pictures,2021
Zathura: A Space Adventure,5.1,PG,1 hr 41 mins,7.6,Teitler Film,2005
Zero Dark Thirty,8,R,2 hrs 37 mins,9.1,Columbia Pictures,2013
Zero Day,7.8,Not Rated,1 hr 32 mins,6.8,Professor Bright Films,2004
Zodiac,7.7,R,2 hrs 43 mins,8.9,Paramount,2007
Zombieland,8.6,R,1 hr 28 mins,8.9,Pariah,2009
Zombieland: Double Tap,8.8,R,1 hr 39 mins,6.8,Pariah,2019
